movie_id,title,release_date,genres
1497,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,1991-03-22,"['Science Fiction', 'Adventure', 'Action', 'Comedy', 'Family']"
11284,Freddy's Dead: The Final Nightmare,1991-09-05,"['Horror', 'Thriller']"
37137,The Naked Gun 2½: The Smell of Fear,1991-06-28,"['Comedy', 'Crime']"
9595,Hot Shots!,1991-07-31,"['Action', 'Comedy', 'War']"
10380,An American Tail: Fievel Goes West,1991-11-21,"['Animation', 'Family', 'Western', 'Adventure', 'Comedy']"
1541,Thelma & Louise,1991-05-24,"['Drama', 'Thriller', 'Crime', 'Adventure']"
1633,Fried Green Tomatoes,1991-12-27,"['Drama', 'Comedy']"
360731,Pretty Woman,1991-12-06,"['Comedy', 'Crime', 'Romance']"
28597,Problem Child 2,1991-07-03,"['Comedy', 'Family']"
9292,Hudson Hawk,1991-05-23,"['Action', 'Adventure', 'Comedy']"
1406,City Slickers,1991-06-07,"['Comedy', 'Western']"
188403,Doraemon: Nobita's Dorabian Nights,1991-03-09,"['Animation', 'Adventure', 'Fantasy', 'Family']"
10975,Operation Condor,1991-02-07,"['Action', 'Adventure', 'Crime', 'Thriller']"
16308,Mobile Suit Gundam F91,1991-03-16,"['Animation', 'Science Fiction']"
11821,Doc Hollywood,1991-08-02,"['Comedy', 'Romance']"
17792,Omen IV: The Awakening,1991-07-19,"['Horror', 'Mystery', 'Thriller', 'TV Movie']"
13888,Return to the Blue Lagoon,1991-08-02,"['Adventure', 'Drama']"
34376,Mannequin Two: On the Move,1991-05-17,"['Fantasy', 'Comedy', 'Science Fiction', 'Romance']"
13154,Showdown in Little Tokyo,1991-08-23,"['Action', 'Comedy', 'Crime']"
2924,Backdraft,1991-05-24,"['Drama', 'Thriller', 'Action', 'Crime']"
15804,A Brighter Summer Day,1991-07-27,"['Crime', 'Drama', 'Romance']"
7442,Sleeping with the Enemy,1991-01-13,"['Drama', 'Crime', 'Thriller']"
1600,The Double Life of Véronique,1991-05-15,['Drama']
11364,Regarding Henry,1991-07-10,"['Romance', 'Drama']"
9585,Not Without My Daughter,1991-01-11,"['Drama', 'Thriller']"
12227,White Fang,1991-01-18,"['Action', 'Adventure', 'Drama', 'Family']"
25562,Soapdish,1991-05-31,['Comedy']
